so_id,sso_id,customer_id,quantity,label_price,discount,amount,paid_time,item_id,option_id,order_date,order_weekday,order_hour,is_weekend,is_night,customer_segment,member_level,customer_group_id,is_multi_order,cluster,year,month
SO_0,0,Customer_145,1,108.78,0.9,97.902,2021-01-01 00:36:33,Item_1,1,2021-01-01,4,0,0,1,1,1,0,False,2,2021,1
SO_0,1,Customer_145,1,202.94,0.9,182.64600000000002,2021-01-01 00:36:33,Item_1,20,2021-01-01,4,0,0,1,1,1,0,False,2,2021,1
SO_1,0,Customer_243,1,192.22,0.9,172.998,2021-01-01 01:00:16,Item_0,12,2021-01-01,4,1,0,1,1,0,0,False,2,2021,1
SO_1,1,Customer_243,3,123.25,0.9,332.77500000000003,2021-01-01 01:00:16,Item_0,0,2021-01-01,4,1,0,1,1,0,0,False,2,2021,1
SO_2,0,Customer_217,4,170.82,0.9,614.952,2021-01-01 01:42:00,Item_4,18,2021-01-01,4,1,0,1,1,1,0,False,2,2021,1
SO_3,0,Customer_955,2,170.82,0.9,307.476,2021-01-01 08:42:20,Item_4,18,2021-01-01,4,8,0,0,1,1,2,False,2,2021,1
SO_5,0,Customer_770,1,94.12,0.9,84.70800000000001,2021-01-01 10:49:26,Item_5,5,2021-01-01,4,10,0,0,2,1,1,False,1,2021,1
SO_5,1,Customer_770,1,68.59,0.9,61.731,2021-01-01 10:49:26,Item_4,4,2021-01-01,4,10,0,0,2,1,1,False,1,2021,1
SO_6,0,Customer_901,1,170.82,0.9,153.738,2021-01-01 10:57:11,Item_4,18,2021-01-01,4,10,0,0,0,0,2,False,0,2021,1
SO_7,0,Customer_245,1,48.32,0.9,43.488,2021-01-01 12:24:50,Item_9,9,2021-01-01,4,12,0,0,0,2,0,False,0,2021,1
SO_8,0,Customer_607,1,192.22,0.9,172.998,2021-01-01 12:39:05,Item_0,12,2021-01-01,4,12,0,0,1,0,1,False,1,2021,1
SO_9,0,Customer_59,2,70.1,0.9,126.17999999999999,2021-01-01 13:22:23,Item_11,21,2021-01-01,4,13,0,0,1,1,0,False,2,2021,1
SO_10,0,Customer_686,2,29.53,0.9,53.154,2021-01-01 15:51:10,Item_8,19,2021-01-01,4,15,0,0,1,1,1,False,1,2021,1
SO_11,0,Customer_52,1,170.82,0.9,153.738,2021-01-01 17:07:16,Item_4,18,2021-01-01,4,17,0,0,0,1,0,False,2,2021,1
SO_11,1,Customer_52,1,68.59,0.9,61.731,2021-01-01 17:07:16,Item_4,4,2021-01-01,4,17,0,0,0,1,0,False,2,2021,1
SO_12,0,Customer_28,2,53.18,0.9,95.724,2021-01-01 17:35:35,Item_8,8,2021-01-01,4,17,0,0,0,0,0,False,2,2021,1
SO_13,1,Customer_272,1,68.59,0.9,61.731,2021-01-01 17:54:24,Item_4,4,2021-01-01,4,17,0,0,0,0,0,False,2,2021,1
SO_13,0,Customer_272,2,170.82,0.9,307.476,2021-01-01 17:54:24,Item_4,18,2021-01-01,4,17,0,0,0,0,0,False,2,2021,1
SO_14,0,Customer_423,1,49.83,0.9,44.847,2021-01-01 18:50:47,Item_3,3,2021-01-01,4,18,0,0,0,1,0,False,0,2021,1
SO_15,0,Customer_672,1,202.94,0.9,182.64600000000002,2021-01-01 20:03:55,Item_1,20,2021-01-01,4,20,0,1,1,1,1,False,1,2021,1
SO_16,0,Customer_41,2,68.59,0.9,123.462,2021-01-01 20:51:23,Item_4,4,2021-01-01,4,20,0,1,0,2,0,False,2,2021,1
SO_17,0,Customer_479,2,94.12,0.9,169.41600000000003,2021-01-01 21:49:12,Item_5,5,2021-01-01,4,21,0,1,1,1,0,False,2,2021,1
SO_18,0,Customer_815,1,68.59,0.9,61.731,2021-01-01 22:15:22,Item_4,4,2021-01-01,4,22,0,1,1,0,2,False,2,2021,1
SO_19,0,Customer_292,1,176.5,0.9,158.85,2021-01-01 22:34:51,Item_6,15,2021-01-01,4,22,0,1,0,1,0,False,0,2021,1
SO_20,0,Customer_202,1,123.25,0.9,110.925,2021-01-01 23:18:48,Item_0,0,2021-01-01,4,23,0,1,1,0,0,False,1,2021,1
SO_21,0,Customer_29,1,202.94,0.9,182.64600000000002,2021-01-02 02:13:17,Item_1,20,2021-01-02,5,2,1,1,0,1,0,False,2,2021,1
SO_22,0,Customer_784,2,176.5,0.9,317.7,2021-01-02 02:36:57,Item_6,15,2021-01-02,5,2,1,1,1,1,1,False,2,2021,1
SO_22,1,Customer_784,2,179.59,0.9,323.262,2021-01-02 02:36:57,Item_6,6,2021-01-02,5,2,1,1,1,1,1,False,2,2021,1
SO_23,0,Customer_644,1,202.94,0.9,182.64600000000002,2021-01-02 08:53:16,Item_1,20,2021-01-02,5,8,1,0,1,1,1,False,1,2021,1
SO_24,0,Customer_644,3,53.18,0.9,143.58599999999998,2021-01-02 09:08:12,Item_8,8,2021-01-02,5,9,1,0,1,1,1,True,1,2021,1
SO_24,1,Customer_644,3,29.53,0.9,79.73100000000001,2021-01-02 09:08:12,Item_8,19,2021-01-02,5,9,1,0,1,1,1,True,1,2021,1
SO_25,0,Customer_680,3,176.5,0.9,476.55,2021-01-02 13:37:19,Item_6,15,2021-01-02,5,13,1,0,2,1,1,False,1,2021,1
SO_26,1,Customer_840,2,86.77,0.9,156.186,2021-01-02 16:27:23,Item_3,17,2021-01-02,5,16,1,0,1,1,2,False,2,2021,1
SO_26,0,Customer_840,1,49.83,0.9,44.847,2021-01-02 16:27:23,Item_3,3,2021-01-02,5,16,1,0,1,1,2,False,2,2021,1
SO_27,1,Customer_924,2,29.53,0.9,53.154,2021-01-02 17:04:08,Item_8,19,2021-01-02,5,17,1,0,1,2,2,False,1,2021,1
SO_27,0,Customer_924,3,53.18,0.9,143.58599999999998,2021-01-02 17:04:08,Item_8,8,2021-01-02,5,17,1,0,1,2,2,False,1,2021,1
SO_28,0,Customer_405,2,192.22,0.9,345.996,2021-01-02 18:34:54,Item_0,12,2021-01-02,5,18,1,0,1,0,0,False,1,2021,1
SO_29,0,Customer_919,3,108.78,0.9,293.706,2021-01-02 19:16:22,Item_1,1,2021-01-02,5,19,1,0,1,0,2,False,0,2021,1
SO_30,0,Customer_340,4,192.22,0.9,691.992,2021-01-02 22:38:21,Item_0,12,2021-01-02,5,22,1,1,1,1,0,False,2,2021,1
SO_31,0,Customer_560,1,169.69,0.9,152.721,2021-01-02 23:38:00,Item_10,13,2021-01-02,5,23,1,1,0,0,1,False,2,2021,1
SO_32,0,Customer_794,1,86.77,0.9,78.093,2021-01-02 23:41:12,Item_3,17,2021-01-02,5,23,1,1,1,0,1,False,2,2021,1
SO_33,0,Customer_579,1,202.94,0.9,182.64600000000002,2021-01-03 00:31:25,Item_1,20,2021-01-03,6,0,1,1,1,0,1,False,2,2021,1
SO_34,0,Customer_662,1,31.94,0.9,28.746000000000002,2021-01-03 00:57:42,Item_11,11,2021-01-03,6,0,1,1,1,1,1,False,1,2021,1
SO_35,0,Customer_215,1,202.94,0.9,182.64600000000002,2021-01-03 02:59:58,Item_1,20,2021-01-03,6,2,1,1,1,2,0,False,2,2021,1
SO_36,0,Customer_767,1,108.78,0.9,97.902,2021-01-03 10:35:29,Item_1,1,2021-01-03,6,10,1,0,0,2,1,False,0,2021,1
SO_36,1,Customer_767,2,202.94,0.9,365.29200000000003,2021-01-03 10:35:29,Item_1,20,2021-01-03,6,10,1,0,0,2,1,False,0,2021,1
SO_37,0,Customer_462,1,86.77,0.9,78.093,2021-01-03 10:56:18,Item_3,17,2021-01-03,6,10,1,0,0,1,0,False,2,2021,1
SO_38,0,Customer_190,7,94.12,0.9,592.956,2021-01-03 12:02:33,Item_5,5,2021-01-03,6,12,1,0,1,1,0,False,2,2021,1
SO_39,0,Customer_2,2,49.83,0.9,89.694,2021-01-03 12:51:35,Item_3,3,2021-01-03,6,12,1,0,0,1,0,False,2,2021,1
SO_40,0,Customer_258,1,176.5,0.9,158.85,2021-01-03 12:52:44,Item_6,15,2021-01-03,6,12,1,0,0,1,0,False,2,2021,1
SO_41,0,Customer_2,1,70.1,0.9,63.089999999999996,2021-01-03 13:10:19,Item_11,21,2021-01-03,6,13,1,0,0,1,0,True,2,2021,1
SO_42,0,Customer_787,4,108.78,0.9,391.608,2021-01-03 15:38:50,Item_1,1,2021-01-03,6,15,1,0,1,2,1,False,1,2021,1
SO_43,0,Customer_41,1,192.22,0.9,172.998,2021-01-03 16:04:25,Item_0,12,2021-01-03,6,16,1,0,0,2,0,False,2,2021,1
SO_44,0,Customer_228,1,53.18,0.9,47.862,2021-01-03 16:14:44,Item_8,8,2021-01-03,6,16,1,0,0,0,0,False,0,2021,1
SO_45,0,Customer_830,1,123.25,0.9,110.925,2021-01-03 16:40:08,Item_0,0,2021-01-03,6,16,1,0,0,1,2,False,0,2021,1
SO_46,0,Customer_986,1,94.37,0.9,84.933,2021-01-03 18:10:19,Item_7,7,2021-01-03,6,18,1,0,0,1,2,False,0,2021,1
SO_47,0,Customer_892,1,123.25,0.9,110.925,2021-01-03 19:32:44,Item_0,0,2021-01-03,6,19,1,0,2,1,2,False,1,2021,1
SO_48,0,Customer_30,1,53.18,0.9,47.862,2021-01-03 20:20:04,Item_8,8,2021-01-03,6,20,1,1,0,0,0,False,0,2021,1
SO_48,1,Customer_30,2,29.53,0.9,53.154,2021-01-03 20:20:04,Item_8,19,2021-01-03,6,20,1,1,0,0,0,False,0,2021,1
SO_49,0,Customer_528,1,176.5,0.9,158.85,2021-01-03 20:48:11,Item_6,15,2021-01-03,6,20,1,1,1,1,1,False,1,2021,1
SO_50,0,Customer_709,1,49.83,0.9,44.847,2021-01-03 20:56:14,Item_3,3,2021-01-03,6,20,1,1,1,2,1,False,2,2021,1
SO_51,0,Customer_199,1,94.12,0.9,84.70800000000001,2021-01-03 21:19:00,Item_5,5,2021-01-03,6,21,1,1,1,0,0,False,2,2021,1
