fo_id,so_id,customer_id,address_lon,lo_id,status,processed_time,warehouse_id,player_group_id,address_lat,content,is_open,created_time,fulfilled_time,distance,estimated_cost,time_diff_hours,is_multi_order,multi_order_group,order_in_group,merged_cost
FO_1162,SO_1143,Customer_0,103.70105,LO_1144,fulfilled,2021-04-12 10:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,"{'SKU_2': 6, 'SKU_14': 1}",False,2021-04-12 09:55:10,2021-04-12 14:40:40,6.544,6.544,,False,1,0,6.544
FO_2504,SO_2462,Customer_0,103.70105,LO_2449,processed,2021-06-17 14:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_3': 1},True,2021-06-17 13:35:10,,6.544,6.544,1588.0,False,1,1,4.580799999999999
FO_2717,SO_2675,Customer_0,103.70105,LO_2653,fulfilled,2021-06-20 21:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_1': 6},False,2021-06-20 20:05:10,2021-06-23 11:55:40,6.544,6.544,79.0,False,1,2,4.580799999999999
FO_2826,SO_2782,Customer_0,103.70105,LO_2754,processed,2021-06-23 15:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_1': 3},True,2021-06-23 14:25:10,,6.544,6.544,66.0,False,1,3,4.580799999999999
FO_3773,SO_3709,Customer_0,103.70105,LO_3652,fulfilled,2021-07-17 04:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_10': 4},False,2021-07-17 03:45:10,2021-07-17 15:00:40,6.544,6.544,565.0,False,1,4,4.580799999999999
FO_4055,SO_3989,Customer_0,103.70105,LO_3916,fulfilled,2021-07-23 11:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_1': 4},False,2021-07-23 10:30:10,2021-07-24 01:20:40,6.544,6.544,151.0,False,1,5,4.580799999999999
FO_17906,SO_17462,Customer_0,103.70105,LO_16975,fulfilled,2022-06-19 20:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_3': 4},False,2022-06-19 19:40:10,2022-06-23 10:35:40,6.544,6.544,7953.0,False,1,6,4.580799999999999
FO_20808,SO_20334,Customer_0,103.70105,LO_19721,processed,2022-08-10 11:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,"{'SKU_3': 2, 'SKU_5': 5}",True,2022-08-10 10:20:10,,6.544,6.544,1239.0,False,1,7,4.580799999999999
FO_22429,SO_21914,Customer_0,103.70105,LO_21232,fulfilled,2022-08-29 23:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_1': 1},False,2022-08-29 22:30:10,2022-09-01 15:50:40,6.544,6.544,468.0,False,1,8,4.580799999999999
FO_25037,SO_24464,Customer_0,103.70105,LO_23633,processed,2022-09-27 17:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_1': 1},True,2022-09-27 16:10:10,,6.544,6.544,690.0,False,1,9,4.580799999999999
FO_25038,SO_24465,Customer_0,103.70105,LO_23633,processed,2022-09-27 17:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_0': 3},True,2022-09-27 16:10:10,,6.544,6.544,0.0,False,1,10,4.580799999999999
FO_26631,SO_26034,Customer_0,103.70105,LO_25079,fulfilled,2022-10-16 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_0': 6},False,2022-10-16 00:10:10,2022-10-18 21:30:40,6.544,6.544,440.0,False,1,11,4.580799999999999
FO_27429,SO_26804,Customer_0,103.70105,LO_25799,processed,2022-10-25 00:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_6': 1},True,2022-10-25 00:00:10,,6.544,6.544,215.0,False,1,12,4.580799999999999
FO_27432,SO_26805,Customer_0,103.70105,LO_25804,processed,2022-10-25 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_6': 3},True,2022-10-25 00:20:10,,6.544,6.544,1.0,True,2,0,6.544
FO_30325,SO_29588,Customer_0,103.70105,LO_28424,fulfilled,2022-11-17 23:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_3': 2},False,2022-11-17 22:05:10,2022-11-18 17:25:40,6.544,6.544,574.0,False,3,0,6.544
FO_31770,SO_31027,Customer_0,103.70105,LO_29819,fulfilled,2022-12-24 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_11': 1},False,2022-12-24 01:00:10,2022-12-25 00:25:40,6.544,6.544,866.0,False,3,1,4.580799999999999
FO_37501,SO_36672,Customer_0,103.70105,LO_35367,fulfilled,2023-07-16 21:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_6': 2},False,2023-07-16 20:30:10,2023-07-19 02:05:40,6.544,6.544,4916.0,False,3,2,4.580799999999999
FO_39229,SO_38366,Customer_0,103.70105,LO_37006,processed,2023-08-09 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_1': 6},True,2023-08-09 00:15:10,,6.544,6.544,556.0,False,3,3,4.580799999999999
FO_40497,SO_39600,Customer_0,103.70105,LO_38193,processed,2023-08-22 03:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_3': 1},True,2023-08-22 02:15:10,,6.544,6.544,314.0,False,3,4,4.580799999999999
FO_46855,SO_45735,Customer_0,103.70105,LO_44093,processed,2023-10-23 17:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,{'SKU_6': 3},True,2023-10-23 16:20:10,,6.544,6.544,1502.0,False,3,5,4.580799999999999
FO_51752,SO_50443,Customer_0,103.70105,LO_48654,fulfilled,2023-12-09 14:00:20,Warehouse_0,IE5405_FY24S2_G13,1.36434,"{'SKU_2': 2, 'SKU_11': 2}",False,2023-12-09 13:35:10,2023-12-09 23:35:40,6.544,6.544,1125.0,False,3,6,4.580799999999999
FO_912,SO_898,Customer_0,103.70105,LO_898,fulfilled,2021-03-20 19:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_0': 2},False,2021-03-20 18:15:10,2021-03-20 22:45:40,17.696,17.696,,False,3,7,12.3872
FO_7054,SO_6883,Customer_0,103.70105,LO_6719,fulfilled,2021-09-05 05:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_3': 2},False,2021-09-05 04:45:10,2021-09-07 17:25:40,17.696,17.696,4042.0,False,3,8,12.3872
FO_24961,SO_24389,Customer_0,103.70105,LO_23567,processed,2022-09-26 23:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_3': 2},True,2022-09-26 22:45:10,,17.696,17.696,9282.0,False,3,9,12.3872
FO_27430,SO_26804,Customer_0,103.70105,LO_25802,fulfilled,2022-10-25 00:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_15': 1},False,2022-10-25 00:00:10,2022-10-26 14:40:40,17.696,17.696,673.0,False,3,10,12.3872
FO_27433,SO_26805,Customer_0,103.70105,LO_25808,fulfilled,2022-10-25 01:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_15': 3},False,2022-10-25 00:20:10,2022-10-26 17:45:40,17.696,17.696,1.0,True,4,0,17.696
FO_37502,SO_36672,Customer_0,103.70105,LO_35371,fulfilled,2023-07-16 21:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_15': 2},False,2023-07-16 20:30:10,2023-07-19 15:50:40,17.696,17.696,6356.0,False,5,0,17.696
FO_40719,SO_39819,Customer_0,103.70105,LO_38401,processed,2023-08-24 03:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_4': 1},True,2023-08-24 02:25:10,,17.696,17.696,918.0,False,5,1,12.3872
FO_46856,SO_45735,Customer_0,103.70105,LO_44098,fulfilled,2023-10-23 17:00:20,Warehouse_1,IE5405_FY24S2_G13,1.36434,{'SKU_15': 3},False,2023-10-23 16:20:10,2023-10-26 04:05:40,17.696,17.696,1454.0,False,5,2,12.3872
FO_1664,SO_1639,Customer_1,103.66937,LO_1639,fulfilled,2021-05-21 15:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_10': 3},False,2021-05-21 14:20:10,2021-05-22 02:30:40,7.861,7.861,,False,5,3,5.5027
FO_3990,SO_3925,Customer_1,103.66937,LO_3856,processed,2021-07-22 09:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_3': 2},True,2021-07-22 08:10:10,,7.861,7.861,1482.0,False,5,4,5.5027
FO_4173,SO_4103,Customer_1,103.66937,LO_4027,fulfilled,2021-07-24 22:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_1': 1},False,2021-07-24 22:00:10,2021-07-26 23:30:40,7.861,7.861,61.0,False,5,5,5.5027
FO_4175,SO_4105,Customer_1,103.66937,LO_4030,fulfilled,2021-07-24 23:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_1': 2},False,2021-07-24 22:15:10,2021-07-27 03:40:40,7.861,7.861,1.0,True,6,0,7.861
FO_5501,SO_5383,Customer_1,103.66937,LO_5276,fulfilled,2021-08-15 20:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_1': 4},False,2021-08-15 19:40:10,2021-08-17 21:00:40,7.861,7.861,525.0,False,7,0,7.861
FO_5502,SO_5384,Customer_1,103.66937,LO_5276,fulfilled,2021-08-15 20:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_1': 4},False,2021-08-15 19:45:10,2021-08-17 21:00:40,7.861,7.861,0.0,False,7,1,5.5027
FO_5785,SO_5663,Customer_1,103.66937,LO_5542,fulfilled,2021-08-20 03:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_3': 2},False,2021-08-20 02:55:10,2021-08-21 03:05:40,7.861,7.861,103.0,False,7,2,5.5027
FO_6477,SO_6330,Customer_1,103.66937,LO_6189,fulfilled,2021-08-29 02:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_5': 1},False,2021-08-29 01:15:10,2021-09-01 22:15:40,7.861,7.861,215.0,False,7,3,5.5027
FO_7292,SO_7114,Customer_1,103.66937,LO_6949,processed,2021-09-07 22:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_0': 1},True,2021-09-07 21:10:10,,7.861,7.861,236.0,False,7,4,5.5027
FO_8502,SO_8269,Customer_1,103.66937,LO_8070,fulfilled,2021-09-24 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_3': 4},False,2021-09-24 00:05:10,2021-09-24 20:55:40,7.861,7.861,387.0,False,7,5,5.5027
FO_8593,SO_8356,Customer_1,103.66937,LO_8159,fulfilled,2021-09-25 02:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_0': 6},False,2021-09-25 01:05:10,2021-09-26 13:00:40,7.861,7.861,25.0,False,7,6,5.5027
FO_9578,SO_9315,Customer_1,103.66937,LO_9064,fulfilled,2021-10-07 23:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_6': 2},False,2021-10-07 22:45:10,2021-10-08 22:15:40,7.861,7.861,309.0,False,7,7,5.5027
FO_9586,SO_9322,Customer_1,103.66937,LO_9069,fulfilled,2021-10-08 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,"{'SKU_3': 1, 'SKU_4': 4}",False,2021-10-07 23:40:10,2021-10-09 03:35:40,7.861,7.861,2.0,True,8,0,7.861
FO_11477,SO_11142,Customer_1,103.66937,LO_10813,processed,2021-11-02 01:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_6': 1},True,2021-11-02 00:55:10,,7.861,7.861,600.0,False,9,0,7.861
FO_13787,SO_13366,Customer_1,103.66937,LO_12979,fulfilled,2021-12-01 00:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_0': 3},False,2021-11-30 23:55:10,2021-12-02 01:20:40,7.861,7.861,695.0,False,9,1,5.5027
FO_14840,SO_14416,Customer_1,103.66937,LO_13986,fulfilled,2022-01-10 04:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_2': 2},False,2022-01-10 04:00:10,2022-01-10 16:15:40,7.861,7.861,964.0,False,9,2,5.5027
FO_15017,SO_14587,Customer_1,103.66937,LO_14157,fulfilled,2022-01-19 18:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_0': 1},False,2022-01-19 17:55:10,2022-01-20 00:35:40,7.861,7.861,230.0,False,9,3,5.5027
FO_15550,SO_15118,Customer_1,103.66937,LO_14684,fulfilled,2022-03-02 11:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_5': 1},False,2022-03-02 10:50:10,2022-03-02 14:15:40,7.861,7.861,1001.0,False,9,4,5.5027
FO_15652,SO_15220,Customer_1,103.66937,LO_14787,fulfilled,2022-03-11 11:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,"{'SKU_6': 2, 'SKU_15': 1}",False,2022-03-11 11:00:10,2022-03-11 19:10:40,7.861,7.861,216.0,False,9,5,5.5027
FO_25195,SO_24619,Customer_1,103.66937,LO_23774,processed,2022-09-29 00:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_0': 1},True,2022-09-28 23:55:10,,7.861,7.861,4837.0,False,9,6,5.5027
FO_25314,SO_24736,Customer_1,103.66937,LO_23878,fulfilled,2022-09-30 12:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,"{'SKU_6': 1, 'SKU_15': 1}",False,2022-09-30 11:35:10,2022-10-01 17:15:40,7.861,7.861,36.0,False,9,7,5.5027
FO_25751,SO_25167,Customer_1,103.66937,LO_24275,processed,2022-10-05 02:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_6': 2},True,2022-10-05 01:15:10,,7.861,7.861,110.0,False,9,8,5.5027
FO_26038,SO_25446,Customer_1,103.66937,LO_24539,fulfilled,2022-10-08 00:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,"{'SKU_6': 2, 'SKU_15': 1}",False,2022-10-07 23:15:10,2022-10-10 13:15:40,7.861,7.861,70.0,False,9,9,5.5027
FO_30218,SO_29482,Customer_1,103.66937,LO_28321,processed,2022-11-15 21:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_3': 1},True,2022-11-15 20:45:10,,7.861,7.861,933.0,False,9,10,5.5027
FO_32907,SO_32156,Customer_1,103.66937,LO_30935,fulfilled,2023-02-19 02:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_4': 1},False,2023-02-19 01:40:10,2023-02-19 11:50:40,7.861,7.861,2285.0,False,9,11,5.5027
FO_33172,SO_32414,Customer_1,103.66937,LO_31200,fulfilled,2023-03-08 22:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_9': 1},False,2023-03-08 21:25:10,2023-03-09 10:10:40,7.861,7.861,428.0,False,9,12,5.5027
FO_34894,SO_34105,Customer_1,103.66937,LO_32885,processed,2023-06-01 18:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_1': 2},True,2023-06-01 17:45:10,,7.861,7.861,2036.0,False,9,13,5.5027
FO_36728,SO_35912,Customer_1,103.66937,LO_34626,processed,2023-07-04 11:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_4': 2},True,2023-07-04 10:35:10,,7.861,7.861,785.0,False,9,14,5.5027
FO_38144,SO_37301,Customer_1,103.66937,LO_35985,processed,2023-07-25 21:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_3': 1},True,2023-07-25 20:40:10,,7.861,7.861,514.0,False,9,15,5.5027
FO_38519,SO_37670,Customer_1,103.66937,LO_36338,fulfilled,2023-07-30 22:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_6': 2},False,2023-07-30 21:50:10,2023-08-01 19:50:40,7.861,7.861,121.0,False,9,16,5.5027
FO_40162,SO_39273,Customer_1,103.66937,LO_37883,fulfilled,2023-08-18 11:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_1': 1},False,2023-08-18 10:30:10,2023-08-19 09:35:40,7.861,7.861,445.0,False,9,17,5.5027
FO_44412,SO_43378,Customer_1,103.66937,LO_41821,processed,2023-09-28 13:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_2': 3},True,2023-09-28 12:20:10,,7.861,7.861,986.0,False,9,18,5.5027
FO_50951,SO_49646,Customer_1,103.66937,LO_47888,fulfilled,2023-11-24 23:00:20,Warehouse_0,IE5405_FY24S2_G13,1.32101,{'SKU_8': 2},False,2023-11-24 22:20:10,2023-11-25 20:20:40,7.861,7.861,1378.0,False,9,19,5.5027
FO_3594,SO_3536,Customer_1,103.66937,LO_3484,fulfilled,2021-07-13 12:00:20,Warehouse_1,IE5405_FY24S2_G13,1.32101,{'SKU_6': 8},False,2021-07-13 11:05:10,2021-07-13 18:15:40,21.649,21.649,,False,9,20,15.1543
FO_9579,SO_9315,Customer_1,103.66937,LO_9065,fulfilled,2021-10-07 23:00:20,Warehouse_1,IE5405_FY24S2_G13,1.32101,{'SKU_15': 1},False,2021-10-07 22:45:10,2021-10-08 12:45:40,21.649,21.649,2075.0,False,9,21,15.1543
FO_11478,SO_11142,Customer_1,103.66937,LO_10819,processed,2021-11-02 01:00:20,Warehouse_1,IE5405_FY24S2_G13,1.32101,{'SKU_15': 1},True,2021-11-02 00:55:10,,21.649,21.649,602.0,False,9,22,15.1543
FO_42085,SO_41119,Customer_1,103.66937,LO_39664,processed,2023-09-05 17:00:20,Warehouse_1,IE5405_FY24S2_G13,1.32101,{'SKU_0': 2},True,2023-09-05 16:55:10,,21.649,21.649,16144.0,False,9,23,15.1543
FO_43252,SO_42270,Customer_1,103.66937,LO_40751,fulfilled,2023-09-17 00:00:20,Warehouse_1,IE5405_FY24S2_G13,1.32101,{'SKU_3': 1},False,2023-09-16 23:25:10,2023-09-20 10:00:40,21.649,21.649,271.0,False,9,24,15.1543
FO_30167,SO_29432,Customer_10,103.82624,LO_28272,processed,2022-11-14 22:00:20,Warehouse_0,IE5405_FY24S2_G13,1.33278,{'SKU_6': 3},True,2022-11-14 21:05:10,,9.701,9.701,,False,9,25,6.7907
FO_33090,SO_32334,Customer_10,103.82624,LO_31117,fulfilled,2023-03-03 19:00:20,Warehouse_0,IE5405_FY24S2_G13,1.33278,{'SKU_12': 2},False,2023-03-03 18:55:10,2023-03-03 20:35:40,9.701,9.701,2613.0,False,9,26,6.7907
FO_1110,SO_1091,Customer_10,103.82624,LO_1092,fulfilled,2021-04-07 02:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_1': 4},False,2021-04-07 01:15:10,2021-04-07 10:35:40,4.814,4.814,,False,9,27,3.3697999999999997
FO_1154,SO_1135,Customer_10,103.82624,LO_1136,fulfilled,2021-04-11 14:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_1': 1},False,2021-04-11 13:15:10,2021-04-11 15:50:40,4.814,4.814,108.0,False,9,28,3.3697999999999997
FO_2098,SO_2058,Customer_10,103.82624,LO_2064,fulfilled,2021-06-05 12:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_10': 1},False,2021-06-05 11:30:10,2021-06-06 06:25:40,4.814,4.814,1318.0,False,9,29,3.3697999999999997
FO_2222,SO_2180,Customer_10,103.82624,LO_2187,fulfilled,2021-06-10 02:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_11': 1},False,2021-06-10 02:00:10,2021-06-10 13:35:40,4.814,4.814,110.0,False,9,30,3.3697999999999997
FO_2263,SO_2220,Customer_10,103.82624,LO_2227,fulfilled,2021-06-11 12:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_0': 3},False,2021-06-11 11:25:10,2021-06-11 17:00:40,4.814,4.814,34.0,False,9,31,3.3697999999999997
FO_2907,SO_2863,Customer_10,103.82624,LO_2834,fulfilled,2021-06-25 17:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_1': 8},False,2021-06-25 16:50:10,2021-06-25 21:45:40,4.814,4.814,341.0,False,9,32,3.3697999999999997
FO_4041,SO_3975,Customer_10,103.82624,LO_3905,fulfilled,2021-07-23 01:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_2': 2},False,2021-07-23 00:35:10,2021-07-23 15:15:40,4.814,4.814,656.0,False,9,33,3.3697999999999997
FO_4925,SO_4825,Customer_10,103.82624,LO_4730,fulfilled,2021-08-06 13:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_5': 3},False,2021-08-06 12:30:10,2021-08-06 23:45:40,4.814,4.814,348.0,False,9,34,3.3697999999999997
FO_5088,SO_4984,Customer_10,103.82624,LO_4888,fulfilled,2021-08-09 12:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,"{'SKU_2': 3, 'SKU_14': 1}",False,2021-08-09 11:55:10,2021-08-09 18:05:40,4.814,4.814,71.0,False,9,35,3.3697999999999997
FO_7025,SO_6857,Customer_10,103.82624,LO_6692,fulfilled,2021-09-04 20:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_3': 1},False,2021-09-04 19:45:10,2021-09-06 14:20:40,4.814,4.814,632.0,False,9,36,3.3697999999999997
FO_7077,SO_6905,Customer_10,103.82624,LO_6742,fulfilled,2021-09-05 12:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_3': 2},False,2021-09-05 11:50:10,2021-09-08 02:55:40,4.814,4.814,16.0,False,9,37,3.3697999999999997
FO_8087,SO_7866,Customer_10,103.82624,LO_7689,fulfilled,2021-09-18 12:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_2': 3},False,2021-09-18 11:25:10,2021-09-19 07:25:40,4.814,4.814,312.0,False,9,38,3.3697999999999997
FO_8945,SO_8697,Customer_10,103.82624,LO_8487,processed,2021-09-30 10:00:20,Warehouse_1,IE5405_FY24S2_G13,1.33278,{'SKU_0': 2},True,2021-09-30 09:05:10,,4.814,4.814,286.0,False,9,39,3.3697999999999997
