sum,count,multiorder_ratio
547,4265,0.12825322391559202
432,2697,0.16017797552836485
208,1399,0.14867762687634023
123,777,0.1583011583011583
62,293,0.21160409556313994
27,196,0.1377551020408163
29,227,0.1277533039647577
65,668,0.09730538922155689
172,1915,0.0898172323759791
340,3172,0.10718789407313997
573,5531,0.1035979027300669
696,5012,0.13886671987230648
453,3586,0.12632459564974902
364,3053,0.11922698984605307
389,3575,0.10881118881118881
456,3785,0.12047556142668428
484,3966,0.12203731719616742
470,3596,0.13070077864293658
402,2915,0.1379073756432247
405,2894,0.13994471319972357
485,3609,0.1343862565807703
568,3971,0.14303701838327876
599,4167,0.1437485001199904
649,4550,0.14263736263736262
