option_id,order_count,multi_order_count,multi_order_ratio
Option_15,3286,516,0.15702982349360925
Option_3,6758,967,0.1430896715004439
Option_12,4342,620,0.1427913403961308
Option_2,1424,202,0.14185393258426968
Option_17,6589,923,0.1400819547731067
Option_16,1600,224,0.14
Option_6,2768,385,0.13908959537572255
Option_0,4408,610,0.1383847549909256
Option_14,4393,605,0.13771909856590028
Option_7,1535,210,0.13680781758957655
Option_22,1559,210,0.13470173187940987
Option_11,529,71,0.1342155009451796
Option_20,7879,962,0.12209671278080975
Option_1,7946,931,0.11716586961993455
Option_5,4423,503,0.11372371693420755
Option_4,2042,229,0.11214495592556317
Option_18,2003,220,0.10983524712930604
Option_13,816,85,0.10416666666666667
Option_23,766,79,0.1031331592689295
Option_10,840,85,0.10119047619047619
Option_21,522,52,0.09961685823754789
Option_19,1306,130,0.0995405819295559
Option_9,745,67,0.08993288590604027
Option_8,1340,112,0.08358208955223881
