cluster,option_id,order_count
0,Option_1,1885
0,Option_20,1853
0,Option_3,1508
0,Option_17,1438
0,Option_0,1110
0,Option_12,1081
0,Option_14,1070
0,Option_5,1004
0,Option_15,785
0,Option_6,672
1,Option_20,2041
1,Option_1,2016
1,Option_3,1690
1,Option_17,1599
1,Option_14,1131
1,Option_12,1119
1,Option_0,1095
1,Option_5,1057
1,Option_15,834
1,Option_6,684
2,Option_1,4045
2,Option_20,3985
2,Option_3,3560
2,Option_17,3552
2,Option_5,2362
2,Option_0,2203
2,Option_14,2192
2,Option_12,2142
2,Option_15,1667
2,Option_6,1412
